Age,AnnualIncome,CreditScore,Experience,LoanAmount,MonthlyDebtPayments,CreditCardUtilizationRate,DebtToIncomeRatio,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,RiskScore,LoanApproved
42.42666666666666,39948.0,617.0,22.0,33086.6,358.5,0.28528735023627955,0.23115746449023175,3359.67,1202.0,54424.37,29591.8,3280.15,0.7249720460524032,28765.23,0.21599593703591385,0.2113477023438323,1220.5696320531274,0.1810771978253941,49.0,0
39.31,39709.0,605.58,15.0,27356.39,440.77,0.30161485849604175,0.22371895616533777,3896.44,1224.08,53204.0,9595.0,3309.0833333333335,0.9351320992549323,43219.04,0.207045,0.2010771214969362,954.2731199420413,0.3898524480253535,52.0,0
40.65,25399.59,570.0,12.18,41692.0,400.85,0.45161532966707996,0.4638602022382641,1806.08,1449.98,-142970.0,56233.35,-273.89976185448444,0.7543370953280103,88483.72,0.1395928493660639,0.2532310947642308,-1606.6899399574809,0.31793743543837727,65.77854027213723,0
56.44,-21218.0,582.14,31.4,28060.27,319.52,0.4628626321115011,0.3305224660215573,499.29,2558.25,-98629.0,5370.0,2502.4931816819944,0.874206060956514,-162622.0,0.24548057027021955,0.3009108491496013,1047.5069802292967,-0.5223538307286936,56.44821098951466,0
41.64,103264.0,594.0,17.0,19383.81,274.0,0.2402257441144987,0.0788842122687955,1555.0,2855.2,244305.0,17286.0,9035.064307595763,0.8491480867427655,236279.06,0.20805134701739214,0.1759901787753283,771.6276663197278,0.0702098474378087,36.11824679323227,1
42.71,153854.0,573.0,21.0,14159.97,116.0,0.5969676578587781,0.3194379720141556,5024.18,3290.8,351667.0,40843.0,11593.79014012624,0.8489783535571398,210906.16,0.2249809595141156,0.2176011551228336,385.5770741531959,0.0752112887097658,43.28001236993503,1
58.0,51250.0,564.0,39.0,14621.74,337.0,0.272499529240084,0.2650557271510196,7433.13,1196.04,65624.0,43894.0,4411.081490407745,0.8182203676732516,29987.62,0.23429106601568542,0.2052709678061031,391.30035166528967,0.1622456821627204,52.76911729641085,0
44.8,97345.0,516.0,23.0,19634.0,288.0,0.2097675831677214,0.3955676351247315,781.0,74.0,50177.0,11556.0,9066.522591823594,0.9334924144306608,39782.98,0.26599762091725293,0.25857394598646616,649.2303626576071,0.2607665587313296,44.21504103475143,1
34.0,116841.0,603.0,11.22,28470.8,420.04,0.1927011647841362,0.27038385814765825,1157.0,708.0,29632.0,49940.0,9736.75,0.7283969266537559,6472.51,0.258853,0.25181751653487194,1149.4006165084513,0.17629219197759402,54.70236849517546,0
39.26,40615.0,612.0,17.043333333333333,27045.91,704.0,0.33133053179262284,0.2830120202167976,1028.0,446.0,129664.0,15873.17,3226.46829226637,0.6153232100036344,116812.0,0.184443,0.18077367415101983,1342.5108418065856,0.9033837027516506,53.0,0
34.0,73646.0,478.0,11.21,31785.02,267.0,0.2112359879576895,0.0814447301385817,6650.74,1722.05,148966.0,34583.58,6137.166666666667,0.8259762013940272,128651.0,0.28401637041898165,0.28639172921830996,1284.7735731027556,0.3660884430201686,50.319295244979294,0
44.07,-40724.0,591.0,17.49,43889.0,462.37,0.8577174211163653,0.3466856611903402,10977.21,2546.97,407749.0,37164.94,10489.22580058034,0.7353532586041687,29709.0,0.2827281948366946,0.2726644447075341,1155.7710556332784,1.253689529204042,58.34211519866122,0
